,bathrooms,bedrooms,city,country,currency,latitude,livingArea,longitude,lotAreaUnit,priceForHDP,rentZestimate,state,streetAddress,taxAssessedValue,zestimate,zipcode,priceinmil,lotArea
35,4.0,4.0,Boulder,USA,USD,40.003235,3608.0,-105.27707,sqft,2685000.0,9739.0,CO,870 12th St,1900000.0,2636181.0,80302,2.685,9.1476
36,2.0,3.0,Boulder,USA,USD,40.015453,1927.0,-105.45551,sqft,750000.0,3200.0,CO,1051 Primos Rd,538400.0,741222.0,80302,0.75,69.696
37,4.0,4.0,Boulder,USA,USD,40.032578,4609.0,-105.285255,sqft,3750000.0,10313.0,CO,3184 9th St,1762500.0,3661833.0,80304,3.75,6.0984
38,2.0,4.0,Boulder,USA,USD,40.030895,1404.0,-105.28064,sqft,1000000.0,3499.0,CO,3015 13th Street,878800.0,981595.0,80304,1.0,9.049
39,3.0,5.0,Boulder,USA,USD,40.01477,1879.0,-105.27047,sqft,1547000.0,1994.0,CO,1843 Arapahoe Ave,953200.0,1513195.0,80302,1.547,4.356
40,6.0,10.0,Boulder,USA,USD,40.014957,3336.0,-105.26493,sqft,2799700.0,3949.0,CO,1509 23rd St,1347600.0,2740131.0,80302,2.7997,5.2272
41,4.0,4.0,Houston,USA,USD,29.671282,2450.0,-95.494415,sqft,750000.0,2449.0,TX,5934 Dumfries Dr,342212.0,356300.0,77096,0.75,8.280756
42,2.0,3.0,Houston,USA,USD,29.856743,1650.0,-95.24916,sqft,269900.0,1892.0,TX,9514 Caddo Rd,26318.0,269263.0,77078,0.2699,7.32
43,3.0,3.0,Houston,USA,USD,29.6738,2050.0,-95.510445,sqft,239900.0,2014.0,TX,7655 S Braeswood Blvd APT 42,142412.0,180300.0,77071,0.2399,3.374
44,2.0,4.0,Houston,USA,USD,29.946434,2009.0,-95.58101,sqft,330000.0,1995.0,TX,11803 Rowood Dr,290014.0,275700.0,77070,0.33,8.8209
45,3.0,4.0,Humble,USA,USD,30.039133,2362.0,-95.248436,sqft,289500.0,2082.0,TX,1603 Trail Forest Ct,257205.0,280548.0,77339,0.2895,4.991975999999999
46,3.0,4.0,Houston,USA,USD,29.767029,3001.0,-95.59801,sqft,699000.0,4579.0,TX,14318 Cindywood Dr,599451.0,720500.0,77079,0.699,9.243432
47,5.0,4.0,Houston,USA,USD,29.712053,3435.0,-95.43891,sqft,2195000.0,9721.0,TX,3825 Byron St,1548020.0,1581200.0,77005,2.195,5.000688
48,3.0,4.0,Houston,USA,USD,29.952154,2408.0,-95.489265,sqft,329900.0,2094.0,TX,4715 Brooklawn Dr,232941.0,248700.0,77066,0.3299,6.721308
49,3.0,3.0,Houston,USA,USD,29.79537,1429.0,-95.55083,sqft,480000.0,1900.0,TX,1438 Shadeland Dr,304830.0,456365.0,77043,0.48,7.88436
50,3.0,4.0,Houston,USA,USD,29.987387,2304.0,-95.59113,sqft,300000.0,2180.0,TX,11514 Parkriver Dr,291141.0,320600.0,77070,0.3,9.600624
51,2.0,3.0,Houston,USA,USD,29.795654,1745.0,-95.193535,sqft,280000.0,1759.0,TX,13026 Ellesmere Dr,208355.0,280000.0,77015,0.28,7.245
52,1.0,3.0,Houston,USA,USD,29.84614,1446.0,-95.396835,sqft,275000.0,1699.0,TX,5505 Arlington St,136324.0,265517.0,77076,0.275,19.941768
53,3.0,3.0,Houston,USA,USD,29.771788,1753.0,-95.40209,sqft,390000.0,2499.0,TX,1166 Bonner St,365358.0,383021.0,77007,0.39,2.121372
54,3.0,4.0,Houston,USA,USD,29.598633,2874.0,-95.10525,sqft,439900.0,2633.0,TX,3910 Silver Aspen Ct,416249.0,431922.0,77059,0.4399,13.5036
55,3.0,4.0,Houston,USA,USD,29.860292,1848.0,-95.394196,sqft,340000.0,2296.0,TX,6707 Parker Oaks Ln,254076.0,333061.0,77076,0.34,1.9253520000000002
56,2.0,4.0,Houston,USA,USD,29.697582,1793.0,-95.307274,sqft,305000.0,1895.0,TX,3307 Pecan St,282635.0,292172.0,77087,0.305,5.985144
57,4.0,3.0,Houston,USA,USD,29.773727,2620.0,-95.4191,sqft,899000.0,1999.0,TX,1414 Malone St,508586.0,885971.0,77007,0.899,2.875
58,2.0,4.0,Houston,USA,USD,29.985807,1956.0,-95.55234,sqft,285000.0,1845.0,TX,14606 Ravenhurst Ln,277443.0,266500.0,77070,0.285,8.999495999999999
59,3.0,3.0,Houston,USA,USD,29.912,2682.0,-95.653244,sqft,395000.0,2289.0,TX,16218 Pine Thorn Dr,327122.0,393167.0,77095,0.395,7.187399999999999
60,2.0,2.0,Houston,USA,USD,29.764832,1446.0,-95.34022,sqft,315000.0,2100.0,TX,2901 Clinton Dr,283844.0,313170.0,77020,0.315,1.5638040000000002
61,3.0,4.0,Houston,USA,USD,29.85422,2514.0,-95.20146,sqft,330000.0,2084.0,TX,9019 Melody Park Ln,258535.0,326544.0,77044,0.33,7.57944
62,3.0,3.0,Houston,USA,USD,29.851421,1490.0,-95.42047,sqft,329900.0,2316.0,TX,849 Mansfield St #D,181755.0,323444.0,77091,0.3299,1.667
63,2.0,4.0,Houston,USA,USD,29.57812,2253.0,-95.23194,sqft,225000.0,2199.0,TX,11458 Sagemorgan Dr,223335.0,225000.0,77089,0.225,7.81902
64,2.0,3.0,Houston,USA,USD,29.862137,1634.0,-95.42223,sqft,290000.0,1762.0,TX,6905 Radcliffe St,242788.0,287582.0,77091,0.29,5.9982120000000005
65,2.0,3.0,Houston,USA,USD,29.825027,1615.0,-95.44186,sqft,520000.0,2499.0,TX,1635 Althea Dr,451991.0,499165.0,77018,0.52,6.960888
66,1.0,3.0,Houston,USA,USD,29.859964,1540.0,-95.14126,sqft,375000.0,1701.0,TX,9111 Security Ln,135510.0,343400.0,77049,0.375,49.436244
67,2.0,4.0,Houston,USA,USD,29.71231,2033.0,-95.28213,sqft,299900.0,1999.0,TX,7811 Garden St,305847.0,288075.0,77012,0.2999,10.558944
68,2.0,3.0,Houston,USA,USD,29.964315,1355.0,-95.46774,sqft,189900.0,1670.0,TX,2739 Grand Canyon Dr,170361.0,197900.0,77067,0.1899,7.858224
69,3.0,4.0,Houston,USA,USD,30.00559,1944.0,-95.40334,sqft,125000.0,1807.0,TX,15915 Regal Trace Ln,210374.0,123364.0,77073,0.125,4.822092
70,2.0,2.0,Dallas,USA,USD,32.768696,1336.0,-96.79504,sqft,424900.0,2364.0,TX,1001 Belleview St #801,340000.0,419294.0,75215,0.4249,41.07708
71,4.0,4.0,Dallas,USA,USD,32.827625,3660.0,-96.7036,sqft,750000.0,2034.0,TX,1407 San Saba Dr,361890.0,740859.0,75218,0.75,22.25916
72,1.0,1.0,Dallas,USA,USD,32.935596,747.0,-96.8062,sqft,215000.0,1564.0,TX,5881 Preston View Blvd APT 151,123260.0,210503.0,75240,0.215,266.93568
73,3.0,4.0,Dallas,USA,USD,32.951748,3222.0,-96.789734,sqft,649950.0,4999.0,TX,6845 Delmeta Dr,625990.0,623187.0,75248,0.64995,13.37292
74,2.0,3.0,Dallas,USA,USD,32.75392,1194.0,-96.64492,sqft,190000.0,1794.0,TX,10332 Oak Branch Ln,151460.0,187143.0,75227,0.19,4.4431199999999995
75,3.0,4.0,Dallas,USA,USD,32.833168,1860.0,-96.68524,sqft,415000.0,1849.0,TX,10155 Eastwood Dr,260770.0,404379.0,75228,0.415,7.71012
76,3.0,2.0,Dallas,USA,USD,32.9123,1663.0,-96.805275,sqft,499900.0,2999.0,TX,5990 Lindenshire Ln APT 126,349230.0,499900.0,75230,0.4999,92.26008
77,2.0,3.0,Dallas,USA,USD,32.877728,1980.0,-96.84534,sqft,839000.0,4813.0,TX,4026 Glenridge Rd,744420.0,839002.0,75220,0.839,7.57944
78,1.0,1.0,Dallas,USA,USD,32.81133,575.0,-96.7656,sqft,255000.0,1628.0,TX,5963 Ross Ave APT 203,157410.0,252424.0,75206,0.255,6.14196
79,2.0,3.0,Dallas,USA,USD,32.995674,1237.0,-96.87076,sqft,299900.0,1970.0,TX,2547 Sundance Ln,191784.0,299902.0,75287,0.2999,4.61736
80,2.0,4.0,Dallas,USA,USD,32.69935,1530.0,-96.892624,sqft,298000.0,2183.0,TX,3715 Karlie Way,233160.0,298000.0,75236,0.298,7.492319999999999
81,2.0,4.0,Dallas,USA,USD,32.79079,2034.0,-96.70596,sqft,417000.0,2298.0,TX,5419 Enchanted Ln,324650.0,406682.0,75227,0.417,8.40708
82,3.0,4.0,Dallas,USA,USD,32.754677,1935.0,-96.66068,sqft,189000.0,1795.0,TX,9466 Edgecreek Dr,202650.0,208800.0,75227,0.189,8.0586
83,3.0,4.0,Dallas,USA,USD,32.907455,2377.0,-96.863014,sqft,699000.0,4140.0,TX,3469 Saint Cloud Cir,451090.0,692467.0,75229,0.699,11.93544
84,2.0,3.0,Dallas,USA,USD,32.823795,1825.0,-96.77593,sqft,795000.0,5290.0,TX,5433 Goodwin Ave,723990.0,791121.0,75206,0.795,8.001972
85,2.0,2.0,Dallas,USA,USD,32.833538,1397.0,-96.75406,sqft,689000.0,2864.0,TX,6322 Ellsworth Ave,601040.0,689002.0,75214,0.689,7.141
86,5.0,5.0,Dallas,USA,USD,32.896427,4433.0,-96.81931,sqft,1500000.0,9875.0,TX,5111 Pebblebrook Dr,1279150.0,1422100.0,75229,1.5,25.918200000000002
87,2.0,4.0,Dallas,USA,USD,32.734634,1496.0,-96.8616,sqft,179900.0,2813.0,TX,2602 W Clarendon Dr,206060.0,244000.0,75211,0.1799,7.36164
88,2.0,4.0,Dallas,USA,USD,32.856773,1888.0,-96.81313,sqft,775000.0,5172.0,TX,5750 Southwestern Blvd,791350.0,839000.0,75209,0.775,8.319959999999998
89,2.0,3.0,Dallas,USA,USD,32.68726,1104.0,-96.79802,sqft,198000.0,1494.0,TX,4840 Ramona Ave,125380.0,192060.0,75216,0.198,7.8408
90,4.0,5.0,Chicago,USA,USD,41.998985,3406.0,-87.6719,sqft,650000.0,5014.0,IL,6431 N Paulina St,618170.0,744300.0,60626,0.65,4.133844
91,3.0,4.0,Chicago,USA,USD,41.96349,2396.0,-87.68111,sqft,1100000.0,5840.0,IL,2108 W Sunnyside Ave,741080.0,844800.0,60625,1.1,3.0
92,2.0,5.0,Chicago,USA,USD,41.936073,1767.0,-87.74516,sqft,487000.0,2199.0,IL,3029 N Keating Ave,205420.0,327700.0,60641,0.487,3.125
93,2.0,3.0,Vestavia Hills,USA,USD,33.451473,2271.0,-86.781235,sqft,699000.0,3696.0,AL,443 Trousdale St,455000.0,639900.0,35216,0.699,16.1172
94,3.0,3.0,Birmingham,USA,USD,33.534775,1800.0,-86.8044,sqft,339000.0,1059.0,AL,1315 28th St N,109900.0,329677.0,35234,0.339,9.583200000000001
95,2.0,3.0,Birmingham,USA,USD,33.63785,1764.0,-86.6457,sqft,199900.0,1355.0,AL,1919 Croydon Cir,111400.0,158800.0,35235,0.1999,18.7308
96,3.0,4.0,Helena,USA,USD,33.267536,3549.0,-86.93639,sqft,649900.0,3531.0,AL,686 Highway 277,405600.0,557100.0,35080,0.6499,25.2648
97,1.0,3.0,Huntsville,USA,USD,34.7003,936.0,-86.61719,sqft,129900.0,1182.0,AL,3118 Hale Dr SW,51200.0,131000.0,35805,0.1299,7.93
98,2.0,3.0,Cullman,USA,USD,34.2426,1248.0,-86.71179,sqft,115000.0,1656.0,AL,321 County Road 1535,84100.0,167800.0,35058,0.115,26.136
99,3.0,3.0,Montevallo,USA,USD,33.155422,1543.0,-86.821846,sqft,225000.0,1706.0,AL,113 Patriot Point Dr,155800.0,225001.0,35115,0.225,3.4848000000000003
100,1.0,3.0,Huntsville,USA,USD,34.767475,950.0,-86.592255,sqft,125900.0,1088.0,AL,2409 Mount Vernon Rd NW,30100.0,125000.0,35810,0.1259,7.8408
101,4.0,4.0,Mc Calla,USA,USD,33.318848,3485.0,-87.05517,sqft,420000.0,2544.0,AL,502 Waterside Cir,244500.0,410100.0,35111,0.42,24.3936
102,2.0,3.0,Mobile,USA,USD,30.662672,1809.0,-88.13778,sqft,109900.0,1150.0,AL,3613 Heritage Dr N,81000.0,105000.0,36609,0.1099,8.367876
103,2.0,4.0,Pinson,USA,USD,33.696136,1321.0,-86.63491,sqft,200000.0,1366.0,AL,5598 Melissa Dr,116400.0,192200.0,35126,0.2,18.2952
104,1.0,3.0,Alexander City,USA,USD,32.934204,1306.0,-85.97586,sqft,159000.0,999.0,AL,1774 Pineview Dr,76000.0,153491.0,35010,0.159,26.136
105,3.0,4.0,PAGE,USA,USD,36.927986,2054.0,-111.461494,sqft,439000.0,2600.0,AZ,13 14th Ave,250267.0,428400.0,86040,0.439,9.583
106,4.0,4.0,Scottsdale,USA,USD,33.4598,2380.0,-111.93013,sqft,770000.0,3300.0,AZ,7009 E Portland St,442600.0,749084.0,85257,0.77,2.96208
107,3.0,3.0,Moreno Valley,USA,USD,33.969624,1538.0,-117.26465,sqft,505000.0,2701.0,CA,22909 Mountain View Rd,192699.0,483200.0,92557,0.505,6.098
108,3.0,3.0,Stockton,USA,USD,37.99131,2379.0,-121.356926,sqft,599000.0,2900.0,CA,6505 Brook Hollow Cir,448730.0,582400.0,95219,0.599,8.542116
109,3.0,3.0,Madera,USA,USD,36.975334,2100.0,-120.09035,sqft,449900.0,2499.0,CA,2517 Meadowrest Way,202296.0,381800.0,93637,0.4499,6.17
110,3.0,4.0,Desert Hot Springs,USA,USD,33.961132,1840.0,-116.49351,sqft,585000.0,1914.0,CA,66947 Pierson Blvd,282103.0,585001.0,92240,0.585,7.8408
111,3.0,4.0,Rocklin,USA,USD,38.82828,1819.0,-121.26423,sqft,699000.0,2734.0,CA,910 Lazy Trail Dr,525578.0,682700.0,95765,0.699,4.352
112,2.0,2.0,Palm Desert,USA,USD,33.718132,1550.0,-116.361305,sqft,387777.0,4500.0,CA,45394 Driftwood Dr,176371.0,388700.0,92260,0.387777,1.742
113,2.0,3.0,Quincy,USA,USD,39.932274,1792.0,-120.94677,sqft,365000.0,2250.0,CA,326 Coburn St,256620.0,358600.0,95971,0.365,12.196799999999996
114,2.0,2.0,Clovis,USA,USD,36.807697,1450.0,-119.6281,sqft,444900.0,2098.0,CA,2125 Las Rosas Ave,323342.0,420800.0,93619,0.4449,5.201064000000001
115,3.0,4.0,Oxnard,USA,USD,34.15697,1800.0,-119.21774,sqft,1557000.0,3499.0,CA,336 Highland Dr,279544.0,1483600.0,93035,1.557,1.751112
116,3.0,3.0,Palm Desert,USA,USD,33.713287,2323.0,-116.37168,sqft,1750000.0,7994.0,CA,74110 Covered Wagon Trl,152001.0,1623700.0,92260,1.75,13.5036
117,1.0,2.0,Los Angeles,USA,USD,33.948578,880.0,-118.26663,sqft,349000.0,2643.0,CA,417 E 97th St,165639.0,449300.0,90003,0.349,5.096520000000001
118,2.0,2.0,Potrero,USA,USD,32.629585,1560.0,-116.64918,sqft,599000.0,3390.0,CA,23254 Coyote Holler Rd,277463.0,500100.0,91963,0.599,354.1428
119,1.0,3.0,Bakersfield,USA,USD,35.37853,0.0,-118.985275,sqft,245000.0,1304.0,CA,1101 Gage St,54317.0,238800.0,93305,0.245,3.875
120,3.0,4.0,Fresno,USA,USD,36.775627,2532.0,-119.65633,sqft,585000.0,2799.0,CA,7447 E Homan Ave,467400.0,575564.0,93737,0.585,4.779
121,2.0,3.0,Fresno,USA,USD,36.800217,1643.0,-119.85154,sqft,365000.0,1950.0,CA,3321 W Norwich Ave,231876.0,323400.0,93722,0.365,6.0
122,3.0,3.0,Placerville,USA,USD,38.68025,2293.0,-120.6911,sqft,875000.0,2997.0,CA,3851 Leisure Ln,657276.0,854000.0,95667,0.875,351.5292
123,3.0,3.0,Cameron Park,USA,USD,38.66804,2024.0,-120.97968,sqft,729000.0,2995.0,CA,3749 Sudbury Rd,405000.0,559900.0,95682,0.729,17.86
124,3.0,3.0,Manteca,USA,USD,37.815773,1722.0,-121.24561,sqft,555000.0,2600.0,CA,1651 Sallie O Dr,317102.0,548100.0,95336,0.555,6.658
125,2.0,3.0,Clovis,USA,USD,36.794426,1220.0,-119.6526,sqft,384900.0,2044.0,CA,3170 Redington Ave,235560.0,379227.0,93619,0.3849,3.650328
126,2.0,2.0,Bakersfield,USA,USD,35.431305,1528.0,-118.87177,sqft,299500.0,1575.0,CA,11917 Laver Ct #38,200959.0,281900.0,93306,0.2995,593.2872
127,1.0,3.0,Stockton,USA,USD,37.962402,1640.0,-121.3085,sqft,395000.0,2190.0,CA,1044 W Vine St,189742.0,368200.0,95203,0.395,5.449356
128,2.0,4.0,Fortuna,USA,USD,40.588306,1600.0,-124.13787,sqft,459000.0,2699.0,CA,2306 Shamrock Dr,257962.0,469118.0,95540,0.459,8.7
129,2.0,2.0,San Diego,USA,USD,32.689644,1056.0,-117.099365,sqft,369000.0,2863.0,CA,4412 Delta St APT 30,283404.0,390100.0,92113,0.369,54.71136
130,3.0,4.0,Roseville,USA,USD,38.77378,2114.0,-121.33715,sqft,675000.0,2949.0,CA,101 Buena Vista Ct,578673.0,675000.0,95747,0.675,8.764272
131,4.0,5.0,Los Altos Hills,USA,USD,37.348156,2835.0,-122.11685,sqft,3800000.0,7720.0,CA,11170 Magdalena Rd,224189.0,3800399.0,94024,3.8,44.749188000000004
132,4.0,4.0,New Milford,USA,USD,41.563766,2842.0,-73.37851,sqft,619000.0,5499.0,CT,3 Winston Way,285350.0,555400.0,6776,0.619,63.162
133,3.0,5.0,Madison,USA,USD,41.350056,3594.0,-72.6136,sqft,699000.0,3627.0,CT,30 Georgetown Cir,326700.0,648500.0,6443,0.699,60.1128
134,2.0,2.0,Waterbury,USA,USD,41.58059,1560.0,-73.044495,sqft,270000.0,2199.0,CT,105 White St,86500.0,274800.0,6710,0.27,13.5036
135,3.0,4.0,Bethlehem,USA,USD,41.662395,3592.0,-73.20976,sqft,997740.0,5000.0,CT,216 Lake Dr,350300.0,1033400.0,6751,0.99774,91.04039999999999
136,2.0,7.0,Winsted,USA,USD,41.92179,2446.0,-73.07019,sqft,209900.0,921.0,CT,20 Center St,79520.0,209900.0,6098,0.2099,6.534
137,2.0,3.0,Middletown,USA,USD,41.54979,1742.0,-72.63284,sqft,324900.0,2364.0,CT,31 Laurel St,101680.0,325062.0,6457,0.3249,5.6628
138,2.0,2.0,Branford,USA,USD,41.270657,1482.0,-72.82093,sqft,479000.0,2400.0,CT,37 Bryan Rd,203400.0,389200.0,6405,0.479,8.276399999999999
139,1.0,4.0,Woodstock,USA,USD,41.941128,2275.0,-72.071236,sqft,495000.0,2023.0,CT,4 Barber Rd,164400.0,285300.0,6281,0.495,54.45
140,6.0,5.0,Westport,USA,USD,41.15396,5424.0,-73.37181,sqft,2499000.0,13249.0,CT,5 Windrush Ln,1197900.0,2499016.0,6880,2.499,50.093999999999994
141,4.0,4.0,Thomaston,USA,USD,41.683304,2153.0,-73.09847,sqft,439900.0,3249.0,CT,576 Walnut Hill Rd,171780.0,439902.0,6787,0.4399,69.696
142,4.0,4.0,Stafford Springs,USA,USD,41.983246,2698.0,-72.32711,sqft,350000.0,2949.0,CT,4 Acorn Dr,196210.0,331400.0,6076,0.35,52.7076
143,3.0,3.0,New Milford,USA,USD,41.57308,1912.0,-73.43347,sqft,378000.0,3499.0,CT,9 Willow Rd,195920.0,397700.0,6776,0.378,23.958000000000002
144,7.0,6.0,Wilton,USA,USD,41.221054,6669.0,-73.48585,sqft,2495000.0,14532.0,CT,112 Vista Rd,1119230.0,2095700.0,6897,2.495,93.21839999999999
145,2.0,3.0,Perry,USA,USD,32.473846,1337.0,-83.729614,sqft,148900.0,1599.0,GA,100 Spring Creek Dr,90700.0,154800.0,31069,0.1489,13.5036
146,4.0,3.0,Morganton,USA,USD,34.844673,5934.0,-84.14987,sqft,968800.0,4851.0,GA,773 Heards Rdg,421471.0,930900.0,30560,0.9688,51.836400000000005
147,5.0,5.0,Augusta,USA,USD,33.533875,3521.0,-82.075134,sqft,674900.0,3247.0,GA,437 Congressional Ct,384768.0,547500.0,30907,0.6749,10.018799999999999
148,1.0,3.0,Dalton,USA,USD,34.772736,1419.0,-84.97707,sqft,200000.0,1309.0,GA,700 Vernon Ave,77792.0,132200.0,30720,0.2,9.583
149,3.0,4.0,Ellijay,USA,USD,34.641644,2622.0,-84.49591,sqft,629000.0,2374.0,GA,1856 Talona Mountain Rd,302600.0,438400.0,30536,0.629,41.382
150,3.0,5.0,Augusta,USA,USD,33.47224,2361.0,-82.08351,sqft,308900.0,1856.0,GA,511 Post Oak Ln,39500.0,315300.0,30909,0.3089,6.0984
151,3.0,5.0,Fairburn,USA,USD,33.62166,2806.0,-84.65468,sqft,389900.0,2694.0,GA,4941 Locherby Dr,240800.0,369500.0,30213,0.3899,10.89
152,2.0,3.0,Bethlehem,USA,USD,33.920715,1597.0,-83.74768,sqft,375000.0,2125.0,GA,305 McKendree Ct,177539.0,276000.0,30620,0.375,34.442892
153,5.0,5.0,Atlanta,USA,USD,33.85077,3034.0,-84.386665,sqft,1175000.0,9002.0,GA,3530 Habersham Rd NW,843000.0,1137096.0,30305,1.175,12.196799999999996
154,4.0,4.0,Canton,USA,USD,34.32317,2619.0,-84.51148,sqft,839900.0,4407.0,GA,120 Bridle Ridge Ln,50900.0,816358.0,30114,0.8399,112.3848
155,2.0,4.0,Atlanta,USA,USD,33.84516,3288.0,-84.376915,sqft,950000.0,5518.0,GA,3305 Mathieson Dr NE,798900.0,925600.0,30305,0.95,16.801092
156,5.0,5.0,Atlanta,USA,USD,33.82258,4642.0,-84.338425,sqft,1690000.0,8874.0,GA,1247 Mayfair Dr,1096200.0,1637200.0,30324,1.69,13.068
